PheCode,Number.of.cases,Number.of.controls,Number.of.excluded.controls,Phenotype.Description,Phenotype.Category,URL.ManhattanPlot,Colors
041.2,"1,644","393,897","13,420",Streptococcus infection,infectious diseases,https://www.dropbox.com/s/rif68dxk1rw2ie5/041.2-Streptococcusinfection-1644cases-393897controls.mh.pdf?dl=0,orange4
041.4,"2,744","393,897","12,320",E. coli,infectious diseases,https://www.dropbox.com/s/568pnucwgbbcd0m/041.4-E.coli-2744cases-393897controls.mh.pdf?dl=0,orange4
053,421,"403,316","5,224",Herpes zoster,infectious diseases,https://www.dropbox.com/s/bxu61r7pe6kncnk/053-Herpeszoster-421cases-403316controls.mh.pdf?dl=0,orange4
053.1,96,"403,316","5,549",Herpes zoster with nervous system complications,infectious diseases,https://www.dropbox.com/s/72qxk6xpz8tqmul/053.1-Herpeszosterwithnervoussystemcomplications-96cases-403316controls.mh.pdf?dl=0,orange4
054,214,"403,316","5,431",Herpes simplex,infectious diseases,https://www.dropbox.com/s/94jgadfr0qw4w4f/054-Herpessimplex-214cases-403316controls.mh.pdf?dl=0,orange4
070,"1,215","403,316","4,430",Viral hepatitis,infectious diseases,https://www.dropbox.com/s/s699jn1hp963bua/070-Viralhepatitis-1215cases-403316controls.mh.pdf?dl=0,orange4
070.1,69,"403,316","5,576",Viral hepatitis A,infectious diseases,https://www.dropbox.com/s/pxs4i0a2rzwdvni/070.1-ViralhepatitisA-69cases-403316controls.mh.pdf?dl=0,orange4
070.2,132,"403,316","5,513",Viral hepatitis B,infectious diseases,https://www.dropbox.com/s/pvy5zhq0awc96gc/070.2-ViralhepatitisB-132cases-403316controls.mh.pdf?dl=0,orange4
070.3,255,"403,316","5,390",Viral hepatitis C,infectious diseases,https://www.dropbox.com/s/o4qcv65hau426xw/070.3-ViralhepatitisC-255cases-403316controls.mh.pdf?dl=0,orange4
070.4,277,"403,316","5,368",Chronic hepatitis,infectious diseases,https://www.dropbox.com/s/j6fftm05xawf8ew/070.4-Chronichepatitis-277cases-403316controls.mh.pdf?dl=0,orange4
070.9,428,"403,316","5,217",Hepatitis NOS,infectious diseases,https://www.dropbox.com/s/23upwkb5nhv24bn/070.9-HepatitisNOS-428cases-403316controls.mh.pdf?dl=0,orange4
071,143,"403,316","5,502",Human immunodeficiency virus [HIV] disease,infectious diseases,https://www.dropbox.com/s/zobqvdsjb465ty2/071-Humanimmunodeficiencyvirus-HIV-disease-143cases-403316controls.mh.pdf?dl=0,orange4
071.1,113,"403,316","5,532","HIV infection, symptomatic",infectious diseases,https://www.dropbox.com/s/8bolxkiy9u6fvmg/071.1-HIVinfection-symptomatic-113cases-403316controls.mh.pdf?dl=0,orange4
078,"1,007","403,316","4,638",Viral warts & HPV,infectious diseases,https://www.dropbox.com/s/n8znhzze7bv9umz/078-ViralwartsHPV-1007cases-403316controls.mh.pdf?dl=0,orange4
079,"2,806","403,316","2,839",Viral infection,infectious diseases,https://www.dropbox.com/s/q33w3i0fmas64dw/079-Viralinfection-2806cases-403316controls.mh.pdf?dl=0,orange4
079.1,65,"403,316","5,580",Varicella infection,infectious diseases,https://www.dropbox.com/s/m7442rafywfxn7v/079.1-Varicellainfection-65cases-403316controls.mh.pdf?dl=0,orange4
079.2,68,"403,316","5,577",Infectious mononucleosis,infectious diseases,https://www.dropbox.com/s/5ebqobnxxstierh/079.2-Infectiousmononucleosis-68cases-403316controls.mh.pdf?dl=0,orange4
080,"4,489","402,343","2,129",Postoperative infection,infectious diseases,https://www.dropbox.com/s/783xf918m4n05g8/080-Postoperativeinfection-4489cases-402343controls.mh.pdf?dl=0,orange4
081,"2,485","402,343","4,133",Infection/inflammation of internal prosthetic device; implant; and graft,infectious diseases,https://www.dropbox.com/s/ggixjqr06nhosi0/081-Infectioninflammationofinternalprostheticdevice-implant-andgraft-2485cases-402343controls.mh.pdf?dl=0,orange4
090,73,"408,888",0,Sexually transmitted infections (not HIV or hepatitis),infectious diseases,https://www.dropbox.com/s/74sou5vug0dmls8/090-Sexuallytransmittedinfections-notHIVorhepatitis--73cases-408888controls.mh.pdf?dl=0,orange4
1000,579,"408,382",0,Burns,injuries & poisonings,https://www.dropbox.com/s/s2kx78mcwwisll2/1000-Burns-579cases-408382controls.mh.pdf?dl=0,red4
1001,"1,210","407,751",0,Foreign body injury,injuries & poisonings,https://www.dropbox.com/s/wbyqke0f7e605oh/1001-Foreignbodyinjury-1210cases-407751controls.mh.pdf?dl=0,red4
1002,"5,512","403,449",0,"Symptoms concerning nutrition, metabolism, and development",symptoms,https://www.dropbox.com/s/g633wpej5a0vyx2/1002-Symptomsconcerningnutrition-metabolism-anddevelopment-5512cases-403449controls.mh.pdf?dl=0,gray
1004,301,"408,660",0,Other signs and symptoms involving emotional state,symptoms,https://www.dropbox.com/s/rdjz3dx5573zkps/1004-Othersignsandsymptomsinvolvingemotionalstate-301cases-408660controls.mh.pdf?dl=0,gray
1005,"1,222","407,739",0,Other symptoms,symptoms,https://www.dropbox.com/s/30wc7d3ez558ujr/1005-Othersymptoms-1222cases-407739controls.mh.pdf?dl=0,gray
1006,258,"408,703",0,Crushing injury,injuries & poisonings,https://www.dropbox.com/s/1lowg26tqew8sdz/1006-Crushinginjury-258cases-408703controls.mh.pdf?dl=0,red4
1007,249,"408,712",0,Injury to blood vessels,injuries & poisonings,https://www.dropbox.com/s/xl0iqecuh9oably/1007-Injurytobloodvessels-249cases-408712controls.mh.pdf?dl=0,red4
1008,"1,007","407,954",0,Crushing or internal injury to organs,injuries & poisonings,https://www.dropbox.com/s/fdcksck918ayyc4/1008-Crushingorinternalinjurytoorgans-1007cases-407954controls.mh.pdf?dl=0,red4
1009,"8,440","400,521",0,"Injury, NOS",injuries & poisonings,https://www.dropbox.com/s/xxu22i6t16864i8/1009-Injury-NOS-8440cases-400521controls.mh.pdf?dl=0,red4
1010,"5,972","402,989",0,Other tests,symptoms,https://www.dropbox.com/s/l0e4a4rct2guyex/1010-Othertests-5972cases-402989controls.mh.pdf?dl=0,gray
1011,"9,140","399,821",0,Complications of surgical and medical procedures,injuries & poisonings,https://www.dropbox.com/s/2jhq9c7v4d1435v/1011-Complicationsofsurgicalandmedicalprocedures-9140cases-399821controls.mh.pdf?dl=0,red4
1012,106,"408,855",0,Late effect,injuries & poisonings,https://www.dropbox.com/s/tk3v7v2w6t5gpoz/1012-Lateeffect-106cases-408855controls.mh.pdf?dl=0,red4
1013,238,"408,723",0,Asphyxia and hypoxemia,respiratory,https://www.dropbox.com/s/9yg91fh8qdyqnug/1013-Asphyxiaandhypoxemia-238cases-408723controls.mh.pdf?dl=0,darksalmon
1014,65,"408,896",0,"Effects of heat, cold and air pressure",injuries & poisonings,https://www.dropbox.com/s/5hgqk6k8jixik3v/1014-Effectsofheat-coldandairpressure-65cases-408896controls.mh.pdf?dl=0,red4
1015,"4,230","404,731",0,Effects of other external causes,symptoms,https://www.dropbox.com/s/07z1yyrip5zyk2u/1015-Effectsofotherexternalcauses-4230cases-404731controls.mh.pdf?dl=0,gray
1019,"16,398","392,563",0,Other ill-defined and unknown causes of morbidity and mortality,symptoms,https://www.dropbox.com/s/ky3oue5yocx7bgk/1019-Otherill-definedandunknowncausesofmorbidityandmortality-16398cases-392563controls.mh.pdf?dl=0,gray
110,286,"406,301","2,374",Dermatophytosis / Dermatomycosis,infectious diseases,https://www.dropbox.com/s/xo0lt8iyacvfxss/110-DermatophytosisDermatomycosis-286cases-406301controls.mh.pdf?dl=0,orange4
110.1,280,"406,301","2,380",Dermatophytosis,infectious diseases,https://www.dropbox.com/s/2rgp55li09q9bfx/110.1-Dermatophytosis-280cases-406301controls.mh.pdf?dl=0,orange4
110.11,76,"406,301","2,584",Dermatophytosis of nail,infectious diseases,https://www.dropbox.com/s/5uiboec3ge7yotm/110.11-Dermatophytosisofnail-76cases-406301controls.mh.pdf?dl=0,orange4
110.12,141,"406,301","2,519",Althete's foot,infectious diseases,https://www.dropbox.com/s/5pyv0slnc9piivw/110.12-Althetesfoot-141cases-406301controls.mh.pdf?dl=0,orange4
112,"2,134","406,301",526,Candidiasis,infectious diseases,https://www.dropbox.com/s/i2vpl5qmy43edr2/112-Candidiasis-2134cases-406301controls.mh.pdf?dl=0,orange4
117,268,"406,301","2,392",Mycoses,infectious diseases,https://www.dropbox.com/s/9du92x65gnqnpwq/117-Mycoses-268cases-406301controls.mh.pdf?dl=0,orange4
117.4,163,"406,301","2,497",Aspergillosis,infectious diseases,https://www.dropbox.com/s/5zj5uf7bv0lt629/117.4-Aspergillosis-163cases-406301controls.mh.pdf?dl=0,orange4
130,80,"408,429",452,Spirochetal infection,infectious diseases,https://www.dropbox.com/s/73hovngfllvhc1k/130-Spirochetalinfection-80cases-408429controls.mh.pdf?dl=0,orange4
133,70,"408,429",462,Arthropod-borne diseases,infectious diseases,https://www.dropbox.com/s/7znqaa8e2psn30z/133-Arthropod-bornediseases-70cases-408429controls.mh.pdf?dl=0,orange4
134,129,"408,429",403,Helminthiases,infectious diseases,https://www.dropbox.com/s/cvowy6c57idqu9n/134-Helminthiases-129cases-408429controls.mh.pdf?dl=0,orange4
134.1,107,"408,429",425,Intestinal helminthiases,infectious diseases,https://www.dropbox.com/s/u8l2b42cbm9pi6o/134.1-Intestinalhelminthiases-107cases-408429controls.mh.pdf?dl=0,orange4
136,205,"408,429",327,Other infectious and parasitic diseases,infectious diseases,https://www.dropbox.com/s/yuk1pocitpqxp7v/136-Otherinfectiousandparasiticdiseases-205cases-408429controls.mh.pdf?dl=0,orange4
145,643,"406,821","1,497",Cancer of mouth,neoplasms,https://www.dropbox.com/s/ucr17cpa38ait8c/145-Cancerofmouth-643cases-406821controls.mh.pdf?dl=0,slateblue2
145.2,308,"406,821","1,832",Cancer of tongue,neoplasms,https://www.dropbox.com/s/8jdg4bf6bnnp1r3/145.2-Canceroftongue-308cases-406821controls.mh.pdf?dl=0,slateblue2
145.3,104,"406,821","2,036",Cancer of major salivary glands,neoplasms,https://www.dropbox.com/s/r36rsjvc6a00wj2/145.3-Cancerofmajorsalivaryglands-104cases-406821controls.mh.pdf?dl=0,slateblue2
145.5,54,"406,821","2,086",Cancer of the mouth floor,neoplasms,https://www.dropbox.com/s/3n2qkyfxgv7l30e/145.5-Cancerofthemouthfloor-54cases-406821controls.mh.pdf?dl=0,slateblue2
149,628,"406,821","1,512","Cancer of larynx, pharynx, nasal cavities",neoplasms,https://www.dropbox.com/s/gemfld710oe9ybg/149-Canceroflarynx-pharynx-nasalcavities-628cases-406821controls.mh.pdf?dl=0,slateblue2
149.1,246,"406,821","1,894",Cancer of oropharynx,neoplasms,https://www.dropbox.com/s/6gd4r5kuacg2z0d/149.1-Canceroforopharynx-246cases-406821controls.mh.pdf?dl=0,slateblue2
149.4,258,"406,821","1,882",Cancer of larynx,neoplasms,https://www.dropbox.com/s/k5uzlyubahg1hqh/149.4-Canceroflarynx-258cases-406821controls.mh.pdf?dl=0,slateblue2
149.9,57,"406,821","2,083",Cancer of of nasal cavities,neoplasms,https://www.dropbox.com/s/tkn0xnoypu3xxey/149.9-Cancerofofnasalcavities-57cases-406821controls.mh.pdf?dl=0,slateblue2
150,720,"393,372","14,869",Cancer of esophagus,neoplasms,https://www.dropbox.com/s/mn4wczqwyyoomw8/150-Cancerofesophagus-720cases-393372controls.mh.pdf?dl=0,slateblue2
151,554,"393,372","15,035",Cancer of stomach,neoplasms,https://www.dropbox.com/s/zfadtfntwknbetx/151-Cancerofstomach-554cases-393372controls.mh.pdf?dl=0,slateblue2
153,"4,562","382,756","21,643",Colorectal cancer,neoplasms,https://www.dropbox.com/s/qa4sxhk7bnt846z/153-Colorectalcancer-4562cases-382756controls.mh.pdf?dl=0,slateblue2
153.2,"3,051","382,756","23,154",Colon cancer,neoplasms,https://www.dropbox.com/s/m4aj5apvwjays5j/153.2-Coloncancer-3051cases-382756controls.mh.pdf?dl=0,slateblue2
153.3,"2,095","382,756","24,110","Malignant neoplasm of rectum, rectosigmoid junction, and anus",neoplasms,https://www.dropbox.com/s/jykbsmh458n8wgq/153.3-Malignantneoplasmofrectum-rectosigmoidjunction-andanus-2095cases-382756controls.mh.pdf?dl=0,slateblue2
155,344,"393,372","15,245",Cancer of liver and intrahepatic bile duct,neoplasms,https://www.dropbox.com/s/pyn4fhdp02yp3v7/155-Cancerofliverandintrahepaticbileduct-344cases-393372controls.mh.pdf?dl=0,slateblue2
155.1,141,"393,372","15,448","Malignant neoplasm of liver, primary",neoplasms,https://www.dropbox.com/s/ealpxo3rrjoixl7/155.1-Malignantneoplasmofliver-primary-141cases-393372controls.mh.pdf?dl=0,slateblue2
157,589,"393,372","15,000",Pancreatic cancer,neoplasms,https://www.dropbox.com/s/u1gn6on5pnp5qne/157-Pancreaticcancer-589cases-393372controls.mh.pdf?dl=0,slateblue2
158,"1,056","393,372","14,533",Neoplasm of unspecified nature of digestive system,neoplasms,https://www.dropbox.com/s/df2argp3qlfzrq9/158-Neoplasmofunspecifiednatureofdigestivesystem-1056cases-393372controls.mh.pdf?dl=0,slateblue2
159,"5,584","393,372","10,005",Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,neoplasms,https://www.dropbox.com/s/cexa3wq9093duph/159-Malignantneoplasmofotherandill-definedsiteswithinthedigestiveorgansandperitoneum-5584cases-393372controls.mh.pdf?dl=0,slateblue2
159.2,184,"393,372","15,405","Malignant neoplasm of small intestine, including duodenum",neoplasms,https://www.dropbox.com/s/ycaihehj0omq34j/159.2-Malignantneoplasmofsmallintestine-includingduodenum-184cases-393372controls.mh.pdf?dl=0,slateblue2
159.3,196,"393,372","15,393",Malignant neoplasm of gallbladder and extrahepatic bile ducts,neoplasms,https://www.dropbox.com/s/v06gg5besxpfytv/159.3-Malignantneoplasmofgallbladderandextrahepaticbileducts-196cases-393372controls.mh.pdf?dl=0,slateblue2
159.4,184,"393,372","15,405",Malignant neoplasm of retroperitoneum and peritoneum,neoplasms,https://www.dropbox.com/s/i1bq8f1jdgdki4y/159.4-Malignantneoplasmofretroperitoneumandperitoneum-184cases-393372controls.mh.pdf?dl=0,slateblue2
164,57,"406,226","2,678",Cancer of intrathoracic organs,neoplasms,https://www.dropbox.com/s/0zrdnvezhoikx2f/164-Cancerofintrathoracicorgans-57cases-406226controls.mh.pdf?dl=0,slateblue2
165,"2,700","406,226",35,Cancer within the respiratory system,neoplasms,https://www.dropbox.com/s/hw4gx7jjh0j9gd7/165-Cancerwithintherespiratorysystem-2700cases-406226controls.mh.pdf?dl=0,slateblue2
165.1,"2,101","406,226",634,Cancer of bronchus; lung,neoplasms,https://www.dropbox.com/s/o06b8g3jelcsm2x/165.1-Cancerofbronchus-lung-2101cases-406226controls.mh.pdf?dl=0,slateblue2
170,424,"408,537",0,Cancer of bone and connective tissue,neoplasms,https://www.dropbox.com/s/lsbcwn4cjy96bpo/170-Cancerofboneandconnectivetissue-424cases-408537controls.mh.pdf?dl=0,slateblue2
170.1,128,"408,537",296,Bone cancer,neoplasms,https://www.dropbox.com/s/zldzvi7pddeoqgr/170.1-Bonecancer-128cases-408537controls.mh.pdf?dl=0,slateblue2
170.2,312,"408,537",112,Cancer of connective tissue,neoplasms,https://www.dropbox.com/s/p9v0xbmgash1d5x/170.2-Cancerofconnectivetissue-312cases-408537controls.mh.pdf?dl=0,slateblue2
172,"13,752","395,071",138,Skin cancer,neoplasms,https://www.dropbox.com/s/cwmvdteae26h1o7/172-Skincancer-13752cases-395071controls.mh.pdf?dl=0,slateblue2
172.1,"2,691","395,071","11,199","Melanomas of skin, dx or hx",neoplasms,https://www.dropbox.com/s/ag8xfpm9up7xlsd/172.1-Melanomasofskin-dxorhx-2691cases-395071controls.mh.pdf?dl=0,slateblue2
172.11,"2,691","395,071","11,199",Melanomas of skin,neoplasms,https://www.dropbox.com/s/vrxljr55t1fcpf9/172.11-Melanomasofskin-2691cases-395071controls.mh.pdf?dl=0,slateblue2
172.2,"11,149","395,071","2,741",Other non-epithelial cancer of skin,neoplasms,https://www.dropbox.com/s/lx7nnqtl18926wv/172.2-Othernon-epithelialcancerofskin-11149cases-395071controls.mh.pdf?dl=0,slateblue2
172.3,667,"395,071","13,223",Carcinoma in situ of skin,neoplasms,https://www.dropbox.com/s/kopsa8v12eor0bl/172.3-Carcinomainsituofskin-667cases-395071controls.mh.pdf?dl=0,slateblue2
173,182,"395,071","13,708",Neoplasm of uncertain behavior of skin,neoplasms,https://www.dropbox.com/s/si3rjrbttqq4flo/173-Neoplasmofuncertainbehaviorofskin-182cases-395071controls.mh.pdf?dl=0,slateblue2
174,"12,898","388,549","7,514",Breast cancer,neoplasms,https://www.dropbox.com/s/hpd08l0wabd9cc6/174-Breastcancer-12898cases-388549controls.mh.pdf?dl=0,slateblue2
174.1,"12,671","388,549","7,741",Breast cancer [female],neoplasms,https://www.dropbox.com/s/8djcjbswionckwb/174.1-Breastcancer-female--12671cases-388549controls.mh.pdf?dl=0,slateblue2
174.11,"11,874","388,549","8,538",Malignant neoplasm of female breast,neoplasms,https://www.dropbox.com/s/j2qpc7058vcsmk9/174.11-Malignantneoplasmoffemalebreast-11874cases-388549controls.mh.pdf?dl=0,slateblue2
174.3,115,"388,549","20,297",Neoplasm of uncertain behavior of breast,neoplasms,https://www.dropbox.com/s/flopwrrgfiqqqqc/174.3-Neoplasmofuncertainbehaviorofbreast-115cases-388549controls.mh.pdf?dl=0,slateblue2
175,"2,415","387,566","18,980",Acquired absence of breast,neoplasms,https://www.dropbox.com/s/4p1j1ea22ba44xq/175-Acquiredabsenceofbreast-2415cases-387566controls.mh.pdf?dl=0,slateblue2
180,"3,653","381,902","23,406",Cervical cancer and dysplasia,neoplasms,https://www.dropbox.com/s/p0u10mokgqp8uev/180-Cervicalcanceranddysplasia-3653cases-381902controls.mh.pdf?dl=0,slateblue2
180.1,"1,659","381,902","25,400",Cervical cancer,neoplasms,https://www.dropbox.com/s/29uvzhzfdbrvf5w/180.1-Cervicalcancer-1659cases-381902controls.mh.pdf?dl=0,slateblue2
180.3,"2,090","381,902","24,969",Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],neoplasms,https://www.dropbox.com/s/9x843yuv0f00v0i/180.3-Cervicalintraepithelialneoplasia-CIN--Cervicaldysplasia--2090cases-381902controls.mh.pdf?dl=0,slateblue2
182,"1,284","381,967","25,710",Malignant neoplasm of uterus,neoplasms,https://www.dropbox.com/s/ysnbjkvzo710gt8/182-Malignantneoplasmofuterus-1284cases-381967controls.mh.pdf?dl=0,slateblue2
184,"2,463","389,695","16,803",Cancer of other female genital organs,neoplasms,https://www.dropbox.com/s/rp5h3xe8dgc4l9m/184-Cancerofotherfemalegenitalorgans-2463cases-389695controls.mh.pdf?dl=0,slateblue2
184.1,"2,127","389,695","17,139",Malignant neoplasm of ovary and other uterine adnexa,neoplasms,https://www.dropbox.com/s/lio4lye1f836ajr/184.1-Malignantneoplasmofovaryandotheruterineadnexa-2127cases-389695controls.mh.pdf?dl=0,slateblue2
184.11,"2,103","389,695","17,163",Malignant neoplasm of ovary,neoplasms,https://www.dropbox.com/s/b1gv1reix2hnyx5/184.11-Malignantneoplasmofovary-2103cases-389695controls.mh.pdf?dl=0,slateblue2
184.2,306,"389,695","18,960",Cancer of other female genital organs (excluding uterus and ovary),neoplasms,https://www.dropbox.com/s/oyeqedhe6vwb94t/184.2-Cancerofotherfemalegenitalorgans-excludinguterusandovary--306cases-389695controls.mh.pdf?dl=0,slateblue2
187.2,"2,981","401,788","4,192",Malignant neoplasm of testis,neoplasms,https://www.dropbox.com/s/3v2ywux2py7kptg/187.2-Malignantneoplasmoftestis-2981cases-401788controls.mh.pdf?dl=0,slateblue2
187.8,111,"401,788","7,062",Neoplasm of uncertain behavior of male genital organs,neoplasms,https://www.dropbox.com/s/8lfwovycwonz02i/187.8-Neoplasmofuncertainbehaviorofmalegenitalorgans-111cases-401788controls.mh.pdf?dl=0,slateblue2
189,"4,165","404,796",0,Cancer of urinary organs (incl. kidney and bladder),neoplasms,https://www.dropbox.com/s/qa2n05d3uxp8ms9/189-Cancerofurinaryorgans-incl.kidneyandbladder--4165cases-404796controls.mh.pdf?dl=0,slateblue2
189.1,"1,045","404,796","3,120",Cancer of kidney and renal pelvis,neoplasms,https://www.dropbox.com/s/cbmlwmxeb81y67p/189.1-Cancerofkidneyandrenalpelvis-1045cases-404796controls.mh.pdf?dl=0,slateblue2
189.11,"1,002","404,796","3,163","Malignant neoplasm of kidney, except pelvis",neoplasms,https://www.dropbox.com/s/7j3xanlegbbp034/189.11-Malignantneoplasmofkidney-exceptpelvis-1002cases-404796controls.mh.pdf?dl=0,slateblue2
189.12,65,"404,796","4,100",Malignant neoplasm of renal pelvis,neoplasms,https://www.dropbox.com/s/5td9wwiximucarp/189.12-Malignantneoplasmofrenalpelvis-65cases-404796controls.mh.pdf?dl=0,slateblue2
189.2,"2,427","404,796","1,738",Cancer of bladder,neoplasms,https://www.dropbox.com/s/prxoasrcvnwt6yl/189.2-Cancerofbladder-2427cases-404796controls.mh.pdf?dl=0,slateblue2
189.21,"2,146","404,796","2,019",Malignant neoplasm of bladder,neoplasms,https://www.dropbox.com/s/evvwdwgstiq2ju0/189.21-Malignantneoplasmofbladder-2146cases-404796controls.mh.pdf?dl=0,slateblue2
189.4,131,"404,796","4,034",Malignant neoplasm of other urinary organs,neoplasms,https://www.dropbox.com/s/7w7lah2z3nysu71/189.4-Malignantneoplasmofotherurinaryorgans-131cases-404796controls.mh.pdf?dl=0,slateblue2
190,176,"407,239","1,546",Cancer of eye,neoplasms,https://www.dropbox.com/s/sn16oudiev5aenp/190-Cancerofeye-176cases-407239controls.mh.pdf?dl=0,slateblue2
191,655,"407,239","1,067",Manlignant and unknown neoplasms of brain and nervous system,neoplasms,https://www.dropbox.com/s/s9w9u0dlge1ze0c/191-Manlignantandunknownneoplasmsofbrainandnervoussystem-655cases-407239controls.mh.pdf?dl=0,slateblue2
191.1,531,"407,239","1,191",Cancer of brain and nervous system,neoplasms,https://www.dropbox.com/s/snvi60ib5s29xld/191.1-Cancerofbrainandnervoussystem-531cases-407239controls.mh.pdf?dl=0,slateblue2
191.11,486,"407,239","1,236",Cancer of brain,neoplasms,https://www.dropbox.com/s/tz830e7yt4rrrdj/191.11-Cancerofbrain-486cases-407239controls.mh.pdf?dl=0,slateblue2
193,358,"407,399","1,204",Thyroid cancer,neoplasms,https://www.dropbox.com/s/gkpo5ciushyw82k/193-Thyroidcancer-358cases-407399controls.mh.pdf?dl=0,slateblue2
194,90,"407,399","1,472",Cancer of other endocrine glands,neoplasms,https://www.dropbox.com/s/spmnixxokpw7gcz/194-Cancerofotherendocrineglands-90cases-407399controls.mh.pdf?dl=0,slateblue2
195,"16,725","370,604","21,632","Cancer, suspected or other",neoplasms,https://www.dropbox.com/s/f3l97svjftx64q2/195-Cancer-suspectedorother-16725cases-370604controls.mh.pdf?dl=0,slateblue2
195.1,"15,979","370,604","22,378","Malignant neoplasm, other",neoplasms,https://www.dropbox.com/s/torfh6dz0mrgl9x/195.1-Malignantneoplasm-other-15979cases-370604controls.mh.pdf?dl=0,slateblue2
197,"21,798","370,604","16,559",Chemotherapy,neoplasms,https://www.dropbox.com/s/u7r16b2ml0x4sjo/197-Chemotherapy-21798cases-370604controls.mh.pdf?dl=0,slateblue2
198,"9,483","370,604","28,874",Secondary malignant neoplasm,neoplasms,https://www.dropbox.com/s/3l1yntiypeb92c3/198-Secondarymalignantneoplasm-9483cases-370604controls.mh.pdf?dl=0,slateblue2
198.1,"5,379","370,604","32,978",Secondary malignancy of lymph nodes,neoplasms,https://www.dropbox.com/s/adc9qvolcgf0sms/198.1-Secondarymalignancyoflymphnodes-5379cases-370604controls.mh.pdf?dl=0,slateblue2
198.2,"2,211","370,604","36,146",Secondary malignancy of respiratory organs,neoplasms,https://www.dropbox.com/s/oi405tijyotn1jv/198.2-Secondarymalignancyofrespiratoryorgans-2211cases-370604controls.mh.pdf?dl=0,slateblue2
198.3,"1,519","370,604","36,838",Secondary malignant neoplasm of digestive systems,neoplasms,https://www.dropbox.com/s/x4cuwbr6da6r18x/198.3-Secondarymalignantneoplasmofdigestivesystems-1519cases-370604controls.mh.pdf?dl=0,slateblue2
198.4,"2,638","370,604","35,719",Secondary malignant neoplasm of liver,neoplasms,https://www.dropbox.com/s/g6s3360s6nq2ptp/198.4-Secondarymalignantneoplasmofliver-2638cases-370604controls.mh.pdf?dl=0,slateblue2
198.5,806,"370,604","37,551",Secondary malignancy of brain/spine,neoplasms,https://www.dropbox.com/s/gx4clvucggn3s1q/198.5-Secondarymalignancyofbrainspine-806cases-370604controls.mh.pdf?dl=0,slateblue2
198.6,"2,151","370,604","36,206",Secondary malignancy of bone,neoplasms,https://www.dropbox.com/s/3tmxaxux8idmfoj/198.6-Secondarymalignancyofbone-2151cases-370604controls.mh.pdf?dl=0,slateblue2
198.7,187,"370,604","38,170",Secondary malignant neoplasm of skin,neoplasms,https://www.dropbox.com/s/8fplo6gt5g1x8f5/198.7-Secondarymalignantneoplasmofskin-187cases-370604controls.mh.pdf?dl=0,slateblue2
199,"1,412","370,604","36,945",Neoplasm of uncertain behavior,neoplasms,https://www.dropbox.com/s/a8qfpwiz9dvfs6a/199-Neoplasmofuncertainbehavior-1412cases-370604controls.mh.pdf?dl=0,slateblue2
199.4,96,"370,604","38,261",Neurofibromatosis,neoplasms,https://www.dropbox.com/s/iwumhunwbz9nr56/199.4-Neurofibromatosis-96cases-370604controls.mh.pdf?dl=0,slateblue2
