Gene	CHR	nSNP
AIPL1	17	21
AIRE	21	26
AJAP1	1	13
AJUBA	14	4
AK1	9	6
AK2	1	8
AK3	9	9
AK5	1	6
AK7	14	32
AK8	9	22
AKAP1	17	21
AKAP10	17	14
AKAP11	13	57
AKAP12	6	72
AKAP13	15	106
AKAP14	X	3
AKAP2	9	35
AKAP3	12	36
AKAP4	X	16
AKAP5	14	10
AKAP6	14	59
AKAP7	6	20
AKAP8	19	21
AKAP8L	19	5
AKAP9	7	113
AKD1	6	48
AKIP1	11	9
AKIRIN1	1	2
AKIRIN2	6	2
AKNA	9	53
AKNAD1	1	37
AKR1A1	1	19
AKR1B1	7	8
AKR1B10	7	13
AKR1B15	7	11
AKR1C1	10	6
AKR1C2	10	7
AKR1C3	10	15
AKR1C4	10	8
AKR1CL1	10	3
AKR1D1	7	10
AKR1E2	10	17
AKR7A2	1	6
AKR7A3	1	4
AKT1	14	3
AKT1S1	19	4
AKT2	19	4
AKT3	1	1
AKTIP	16	2
AL121963.1	6	5
AL136419.6	14	3
AL137145.1	10	1
AL359195.1	10	1
AL359392.1	13	3
AL359736.1	13	1
AL359853.2	1	1
AL391152.1	14	1
AL450307.1	10	2
AL450992.2	1	1
AL513013.1	1	3
AL583828.1	6	1
AL928654.7	14	1
ALAD	9	7
ALAS1	3	18
ALAS2	X	16
ALB	4	23
ALCAM	3	12
ALDH16A1	19	29
ALDH18A1	10	17
ALDH1A1	9	10
ALDH1A2	15	8
ALDH1A3	15	9
ALDH1B1	9	26
ALDH1L1	3	47
ALDH1L2	12	30
ALDH2	12	135
ALDH3A1	17	28
ALDH3A2	17	14
ALDH3B2	11	27
ALDH4A1	1	26
ALDH5A1	6	23
ALDH6A1	14	11
ALDH7A1	5	23
ALDH8A1	6	19
ALDH9A1	1	25
ALDOA	16	10
ALDOB	9	15
ALDOC	17	9
ALG1	16	7
ALG10	12	5
ALG10B	12	8
ALG11	13	10
ALG12	22	18
ALG13	X	9
ALG14	1	4
ALG1L	3	1
ALG2	9	7
ALG3	3	9
ALG5	13	9
ALG6	1	15
ALG8	11	23
ALG9	11	13
ALK	2	36
ALKBH1	14	14
ALKBH2	12	10
ALKBH3	11	17
ALKBH4	7	10
ALKBH5	17	1
ALKBH6	19	6
ALKBH7	19	3
ALKBH8	11	18
ALLC	2	16
ALMS1	2	142
ALMS1P	2	1
ALOX12	17	19
ALOX12B	17	11
ALOX15	17	22
ALOX15B	17	29
ALOX5	10	13
ALOX5AP	13	4
ALOXE3	17	23
ALPI	2	14
ALPK1	4	51
ALPK2	18	76
ALPK3	15	58
ALPL	1	15
ALPP	2	5
ALPPL2	2	6
ALS2	2	32
ALS2CL	3	33
ALS2CR11	2	38
ALS2CR12	2	19
ALS2CR8	2	16
ALX1	12	7
ALX3	1	4
ALX4	11	9
AMACR	5	17
AMBN	4	18
AMBP	9	12
AMBRA1	11	14
AMD1	6	1
AMDHD1	12	17
AMDHD2	16	7
AMELX	X	1
AMFR	16	9
AMH	19	8
AMHR2	12	7
AMICA1	11	18
AMIGO1	1	7
AMIGO2	12	10
AMIGO3	3	10
AMMECR1	X	2
AMMECR1L	2	4
AMN	14	9
AMN1	12	1
AMOT	X	12
AMOTL1	11	21
AMOTL2	3	23
AMPD1	1	26
AMPD2	1	6
AMPD3	11	27
AMPH	7	21
AMT	3	13
AMTN	4	15
AMY1A	1	1
AMY1C	1	1
AMY2B	1	7
AMZ1	7	32
AMZ2	17	11
ANAPC1	2	3
ANAPC10	4	5
ANAPC11	17	5
ANAPC13	3	1
ANAPC16	10	1
ANAPC2	9	11
ANAPC4	4	4
ANAPC5	12	9
ANAPC7	12	5
ANG	14	7
ANGEL1	14	24
ANGEL2	1	13
ANGPT1	8	7
ANGPT2	8	13
ANGPT4	20	16
ANGPTL1	1	12
ANGPTL2	9	7
ANGPTL3	1	188
ANGPTL4	19	13
ANGPTL5	11	18
ANGPTL6	19	10
ANGPTL7	1	14
ANHX	12	5
ANK1	8	47
ANK2	4	90
ANK3	10	71
ANKAR	2	41
ANKDD1A	15	23
ANKFN1	17	25
ANKFY1	17	19
ANKH	5	8
ANKHD1	5	31
ANKHD1-EIF4EBP3	5	31
ANKIB1	7	20
ANKK1	11	47
ANKLE1	19	38
ANKLE2	12	26
ANKMY1	2	47
ANKMY2	7	10
ANKRA2	5	4
ANKRD1	10	15
ANKRD10	13	8
ANKRD11	16	52
ANKRD12	18	44
ANKRD13A	12	10
ANKRD13B	17	3
ANKRD13C	1	4
ANKRD13D	11	3
ANKRD16	10	15
ANKRD17	4	12
ANKRD18A	9	6
ANKRD18B	9	2
ANKRD2	10	19
ANKRD22	10	10
ANKRD23	2	12
ANKRD24	19	19
ANKRD26	10	41
ANKRD27	19	32
ANKRD28	3	19
ANKRD29	18	9
ANKRD30A	10	34
ANKRD30B	18	7
ANKRD31	5	31
ANKRD32	5	9
ANKRD33	12	20
ANKRD33B	5	1
ANKRD34A	1	3
ANKRD34B	5	23
ANKRD34C	15	4
ANKRD35	1	52
ANKRD36	2	3
ANKRD37	4	8
ANKRD39	2	3
ANKRD40	17	7
ANKRD42	11	14
ANKRD44	2	13
ANKRD45	1	10
ANKRD46	8	1
ANKRD49	11	4
ANKRD5	20	34
ANKRD50	4	17
ANKRD52	12	12
ANKRD53	2	17
ANKRD54	22	5
ANKRD55	5	21
ANKRD6	6	24
ANKRD60	20	2
ANKRD62	18	1
ANKRD63	15	2
ANKRD65	1	5
ANKRD7	7	8
ANKS1A	6	29
ANKS1B	12	18
ANKS3	16	28
ANKS4B	16	8
ANKS6	9	28
ANKUB1	3	14
ANKZF1	2	32
ANLN	7	30
ANO1	11	19
ANO10	3	21
ANO2	12	53
ANO3	11	16
ANO4	12	13
ANO5	11	40
ANO6	12	33
ANO7	2	53
ANO8	19	8
ANO9	11	25
ANP32B	9	1
ANP32D	12	6
ANP32E	1	3
ANPEP	15	29
ANTXR1	2	10
ANTXR2	4	10
ANXA1	9	11
ANXA10	4	16
ANXA11	10	26
ANXA13	8	22
ANXA2	15	5
ANXA2R	5	4
ANXA3	4	20
ANXA4	2	9
ANXA5	4	13
ANXA6	5	21
ANXA7	10	21
ANXA9	1	21
AOAH	7	23
AOC2	17	32
AOC3	17	15
AOX1	2	45
AP000275.65	21	5
AP000295.9	21	8
AP000304.12	21	2
AP000346.2	22	1
AP000350.10	22	6
AP000695.4	21	1
AP000892.1	11	9
AP001055.7	21	8
AP002856.7	11	1
AP002884.2	11	25
AP003068.6	11	1
AP1AR	4	5
AP1B1	22	15
AP1G1	16	9
AP1G2	14	35
AP1M1	19	3
AP1M2	19	9
AP1S1	7	1
AP1S3	2	7
AP2A1	19	5
AP2A2	11	7
AP2B1	17	4
AP2M1	3	1
AP3B1	5	20
AP3B2	15	14
AP3D1	19	17
AP3M1	10	6
AP3M2	8	4
AP3S1	5	2
AP3S2	15	4
AP4B1	1	26
AP4B1-AS1	1	1
AP4E1	15	20
AP4M1	7	16
AP4S1	14	9
AP5B1	11	14
AP5M1	14	14
AP5S1	20	6
AP5Z1	7	37
APAF1	12	33
APBA1	9	11
APBA2	15	15
APBA3	19	20
APBB1	11	17
APBB1IP	10	3
APBB2	4	18
APBB3	5	19
APC	5	1059
APC2	19	13
APCDD1	18	15
APCDD1L	20	26
APCS	1	6
APEH	3	14
APEX1	14	17
APEX2	X	10
APH1A	1	3
APH1B	15	9
API5	11	3
APIP	11	11
APITD1	1	7
APITD1-CORT	1	5
APLF	2	22
APLNR	11	9
APLP1	19	9
APLP2	11	23
APMAP	20	21
APOA1	11	4
APOA1BP	1	9
APOA2	1	1
APOA4	11	19
APOA5	11	111
APOB	2	1576
APOBEC1	12	12
APOBEC2	6	11
APOBEC3A	22	2
APOBEC3B	22	4
APOBEC3C	22	4
APOBEC3D	22	6
APOBEC3F	22	6
APOBEC3G	22	9
APOBEC3H	22	15
APOBEC4	1	16
APOBR	16	23
APOC1	19	2
APOC2	19	7
APOC3	11	37
APOC4	19	16
APOD	3	7
APOE	19	90
APOF	12	11
APOH	17	21
APOL1	22	26
APOL2	22	20
APOL3	22	21
APOL4	22	15
APOL5	22	18
APOL6	22	16
APOLD1	12	8
APOM	6	3
APOO	X	4
APOOL	X	3
APOPT1	14	5
APP	21	259
APPBP2	17	9
APPL1	3	18
APPL2	12	34
APRT	16	5
APTX	9	9
AQP1	7	14
AQP10	1	3
AQP11	11	7
AQP12A	2	1
AQP2	12	4
AQP3	9	3
AQP4	18	7
AQP5	12	9
AQP6	12	9
AQP7	9	8
AQP8	16	10
AQP9	15	12
AQR	15	15
AR	X	9
ARAF	X	4
ARAP1	11	412
ARAP2	4	52
ARAP3	5	41
ARC	8	1
ARCN1	11	8
AREG	4	1
ARF1	1	1
ARF5	7	1
ARFGAP1	20	20
ARFGAP2	11	8
ARFGAP3	22	24
ARFGEF1	8	14
ARFGEF2	20	28
ARFIP1	4	7
ARFIP2	11	4
ARFRP1	20	5
ARG1	6	10
ARG2	14	9
ARGFX	3	12
ARGLU1	13	3
ARHGAP1	11	8
ARHGAP10	4	32
ARHGAP11A	15	25
ARHGAP11B	15	3
ARHGAP12	10	10
ARHGAP15	2	13
ARHGAP17	16	15
ARHGAP18	6	17
ARHGAP19	10	14
ARHGAP20	11	26
ARHGAP21	10	24
ARHGAP22	10	17
ARHGAP23	17	5
ARHGAP24	4	24
ARHGAP25	2	23
ARHGAP26	5	8
ARHGAP27	17	7
ARHGAP28	18	21
ARHGAP29	1	23
ARHGAP30	1	27
ARHGAP31	3	37
ARHGAP32	11	40
ARHGAP33	19	12
ARHGAP35	19	14
ARHGAP36	X	2
ARHGAP39	8	16
ARHGAP4	X	12
ARHGAP40	20	15
ARHGAP42	11	4
ARHGAP44	17	6
ARHGAP5	14	15
ARHGAP6	X	15
ARHGAP8	22	59
ARHGAP9	12	22
ARHGDIA	17	1
ARHGDIB	12	4
ARHGDIG	16	5
ARHGEF1	19	18
ARHGEF10	8	53
ARHGEF10L	1	35
ARHGEF11	1	40
ARHGEF12	11	30
ARHGEF15	17	20
ARHGEF16	1	16
ARHGEF17	11	42
ARHGEF18	19	32
ARHGEF19	1	19
ARHGEF2	1	9
ARHGEF25	12	11
ARHGEF26	3	16
ARHGEF28	5	51
ARHGEF3	3	16
ARHGEF33	2	7
ARHGEF37	5	35
ARHGEF38	4	12
ARHGEF39	9	16
ARHGEF4	2	20
ARHGEF40	14	35
ARHGEF5	7	3
ARHGEF6	X	10
ARHGEF7	13	12
ARHGEF9	X	5
ARID1A	1	27
ARID1B	6	29
ARID2	12	25
ARID3A	19	8
ARID3B	15	2
ARID3C	9	8
ARID4A	14	19
ARID4B	1	18
ARID5A	2	12
ARID5B	10	18
ARIH1	15	2
ARIH2	3	4
ARL1	12	1
ARL10	5	7
ARL11	13	9
ARL13A	X	6
ARL13B	3	18
ARL14	3	12
ARL14EP	11	4
ARL15	5	2
ARL16	17	4
ARL2	11	4
ARL2BP	16	6
ARL3	10	1
ARL4D	17	1
ARL5A	2	1
ARL5C	17	9
ARL6	3	3
ARL6IP1	16	3
ARL6IP4	12	9
ARL6IP5	3	9
ARL6IP6	2	4
ARL8B	3	3
ARL9	4	5
ARMC1	8	6
ARMC10	7	6
ARMC12	6	16
ARMC2	6	23
ARMC3	10	27
ARMC4	10	35
ARMC5	16	10
ARMC6	19	8
ARMC7	17	8
ARMC8	3	2
ARMC9	2	32
ARMCX1	X	2
ARMCX2	X	6
ARMCX3	X	3
ARMCX5	X	4
ARMCX6	X	2
ARMS2	10	4
ARNT	1	16
ARNT2	15	14
ARNTL	11	3
ARNTL2	12	16
ARPC1A	7	3
ARPC1B	7	13
ARPC2	2	4
ARPC3	12	6
ARPC4-TTLL3	3	23
ARPC5	1	2
ARPC5L	9	1
ARPP19	15	1
ARPP21	3	19
ARR3	X	8
ARRB1	11	12
ARRB2	17	5
ARRDC1	9	17
ARRDC2	19	13
ARRDC3	5	6
ARRDC4	15	14
ARRDC5	19	13
ARSA	22	13
ARSB	5	21
ARSD	X	4
ARSE	X	9
ARSF	X	16
ARSG	17	25
ARSH	X	25
ARSI	5	15
ARSJ	4	11
ARSK	5	15
ART1	11	15
ART3	4	18
ART4	12	19
ART5	11	16
ARTN	1	3
ARV1	1	11
ARVCF	22	43
AS3MT	10	11
ASAH1	8	34
ASAH2	10	8
ASAP1	8	19
ASAP2	2	13
ASAP3	1	34
ASB1	2	5
ASB10	7	27
ASB11	X	9
ASB12	X	19
ASB13	10	10
ASB14	3	12
ASB15	7	22
ASB16	17	25
ASB17	1	7
ASB18	2	12
ASB2	14	25
ASB3	2	19
ASB4	7	10
ASB5	4	17
ASB6	9	9
ASB8	12	4
ASB9	X	2
ASCC1	10	15
ASCC2	22	13
ASCC3	6	56
ASCL3	11	10
ASCL4	12	1
ASF1A	6	1
ASF1B	19	2
ASGR1	17	5
ASGR2	17	6
ASH1L	1	38
ASH2L	8	7
ASIC1	12	5
ASIC2	17	7
ASIC3	7	20
ASIC4	2	20
ASIC5	4	24
ASIP	20	2
ASL	7	13
ASMT	X	10
ASMTL	X	7
ASMTL-AS1	X	1
ASNA1	19	4
ASNS	7	8
ASNSD1	2	20
ASPA	17	11
ASPDH	19	4
ASPG	14	14
ASPH	8	31
ASPHD1	16	1
ASPHD2	22	5
ASPM	1	106
ASPN	9	13
ASPRV1	2	11
ASPSCR1	17	13
ASRGL1	11	13
ASS1	9	12
ASTE1	3	22
ASTL	2	16
ASTN1	1	40
ASTN2	9	38
ASUN	12	8
ASXL1	20	42
ASXL2	2	26
ASXL3	18	46
ASZ1	7	9
ATAD1	10	4
ATAD2	8	22
ATAD2B	2	17
ATAD3A	1	7
ATAD3B	1	16
ATAD3C	1	12
ATAD5	17	32
ATAT1	6	12
ATCAY	19	3
ATE1	10	9
ATF1	12	11
ATF2	2	5
ATF3	1	1
ATF4	22	1
ATF5	19	8
ATF6	1	19
ATF6B	6	17
ATF7	12	4
ATF7IP	12	26
ATF7IP2	16	26
ATG10	5	9
ATG12	5	5
ATG13	11	16
ATG14	14	9
ATG16L1	2	9
ATG16L2	11	15
ATG2A	11	42
ATG2B	14	64
ATG3	3	3
ATG4A	X	4
ATG4B	2	7
ATG4C	1	14
ATG4D	19	11
ATG5	6	2
ATG7	3	18
ATG9A	2	14
ATG9B	7	2
ATHL1	11	27
ATIC	2	27
ATL1	14	4
ATL2	2	12
ATL3	11	9
ATM	11	94
ATMIN	16	19
ATN1	12	21
ATOH1	4	4
ATOH7	10	1
ATOH8	2	6
ATOX1	5	1
ATP10A	15	60
ATP10B	5	59
ATP10D	4	49
ATP11A	13	28
ATP11B	3	22
ATP11C	X	11
ATP12A	13	41
ATP13A1	19	18
ATP13A2	1	29
ATP13A3	3	19
ATP13A4	3	38
ATP13A5	3	58
ATP1A1	1	4
ATP1A2	1	9
ATP1A3	19	2
ATP1A4	1	43
ATP1B1	1	2
ATP1B2	17	5
ATP1B3	3	3
ATP1B4	X	7
ATP2A1	16	18
ATP2A2	12	7
ATP2A3	17	23
ATP2B1	12	7
ATP2B2	3	9
ATP2B3	X	17
ATP2B4	1	31
ATP2C1	3	5
ATP2C2	16	57
ATP4A	19	24
ATP4B	13	11
ATP5A1	18	9
ATP5B	12	5
ATP5C1	10	4
ATP5D	19	3
ATP5E	20	3
ATP5F1	1	6
ATP5G2	12	1
ATP5G3	2	4
ATP5H	17	5
ATP5I	4	3
ATP5J	21	3
ATP5J2	7	4
ATP5J2-PTCD1	7	35
ATP5L	11	1
ATP5O	21	10
ATP5S	14	10
ATP5SL	19	14
ATP6AP1	X	6
ATP6AP1L	5	9
ATP6AP2	X	1
ATP6V0A1	17	14
ATP6V0A2	12	21
ATP6V0A4	7	30
ATP6V0B	1	1
ATP6V0D1	16	1
ATP6V0D2	8	18
ATP6V0E2	7	8
ATP6V1A	3	3
ATP6V1B1	2	15
ATP6V1B2	8	4
ATP6V1C1	8	3
ATP6V1C2	2	15
ATP6V1D	14	4
ATP6V1E1	22	3
ATP6V1E2	2	10
ATP6V1F	7	8
ATP6V1G1	9	6
ATP6V1G2	6	2
ATP6V1G3	1	9
ATP6V1H	8	10
ATP7A	X	21
ATP7B	13	73
ATP8A1	4	19
ATP8A2	13	15
ATP8B1	18	33
ATP8B2	1	19
ATP8B3	19	49
ATP8B4	15	54
ATP9A	20	10
ATP9B	18	44
ATPAF1	1	4
ATPAF1-AS1	1	8
ATPAF2	17	9
ATPBD4	15	10
ATPIF1	1	3
ATR	3	52
ATRAID	2	9
ATRIP	3	17
ATRN	20	25
ATRNL1	10	24
ATRX	X	15
ATXN1	6	20
ATXN10	22	11
ATXN1L	16	6
ATXN2	12	18
ATXN2L	16	12
ATXN3	14	6
ATXN3L	X	9
ATXN7	3	27
ATXN7L1	7	12
ATXN7L2	1	12
ATXN7L3	17	4
AUH	9	5
AUNIP	1	13
AUP1	2	8
AURKA	20	6
AURKAIP1	1	5
AURKB	17	11
AURKC	19	2
AUTS2	7	19
AVEN	15	14
AVIL	12	36
AVL9	7	15
AVP	20	1
AVPI1	10	6
AVPR1A	12	13
AVPR1B	1	15
AVPR2	X	12
AWAT1	X	8
AWAT2	X	7
AXDND1	1	34
AXIN1	16	18
